Name,d,MSE,MAE,MAPE,R2 Square,TRAIN MSE,TIME
Snap Star (shot wrmp),5,13.576±0.727,2.432,0.120,0.837,2.036,19.8
Snap Star (new wrmp),5,13.926±0.643,2.441,0.119,0.833,2.002,18.6
Snap Ensemble,5,13.296±0.330,2.380,0.118,0.840,2.031,17.6
Snap Star (shot wrmp),4,12.324±2.035,2.306,0.116,0.852,1.808,16.2
Snap Star (new wrmp),4,12.831±1.355,2.331,0.117,0.846,2.043,15.2
Snap Ensemble,4,12.538±1.492,2.301,0.116,0.849,1.928,14.2
Snap Star (shot wrmp),3,12.712±2.325,2.315,0.116,0.847,1.882,13.6
Snap Star (new wrmp),3,12.956±2.241,2.349,0.118,0.844,2.093,13.2
Snap Ensemble,3,13.108±2.036,2.344,0.118,0.843,2.102,12.4
Snap Star (shot wrmp),2,13.338±0.642,2.380,0.119,0.840,2.393,11.0
Snap Star (new wrmp),2,13.061±1.257,2.371,0.119,0.843,2.347,9.2
Snap Ensemble,2,12.734±0.696,2.338,0.118,0.847,2.230,9.2
Snap Star (shot wrmp),1,14.453±1.160,2.450,0.121,0.826,3.022,7.0
Snap Star (new wrmp),1,14.277±1.115,2.448,0.123,0.829,3.095,6.8
Snap Ensemble,1,14.066±0.703,2.420,0.121,0.831,2.862,6.8
