Name,d,epochs,MSE,MAE,MAPE,R2 Square,TRAIN MSE,TIME,p,lr
Snap Ensemble,1,150,13.73554,2.47683,0.12775,0.83504,3.76395,10,0.1,0.1
Snap Star (shot wrmp),1,150,12.5582,2.41952,0.12669,0.84918,3.53236,12,0.1,0.1
Snap Star (new wrmp),1,150,12.9941,2.47925,0.13013,0.84394,3.78199,11,0.1,0.1
Snap Ensemble,1,150,16.43424,2.54189,0.12185,0.80263,2.56509,11,0.0,0.1
Snap Star (shot wrmp),1,150,16.70678,2.60197,0.12694,0.79936,2.64496,13,0.0,0.1
Snap Star (new wrmp),1,150,15.77908,2.56914,0.12622,0.8105,2.51029,12,0.0,0.1
Snap Ensemble,5,75,14.33702,2.54111,0.13051,0.82782,4.489,17,0.1,0.1
Snap Star (shot wrmp),5,75,12.42751,2.35432,0.11639,0.85075,2.34104,20,0.1,0.1
Snap Star (new wrmp),5,75,12.66507,2.37011,0.12043,0.8479,3.08082,19,0.1,0.1
Snap Ensemble,5,75,12.90816,2.38639,0.1215,0.84498,2.01611,16,0.0,0.1
Snap Star (shot wrmp),5,75,13.09132,2.49779,0.12709,0.84278,1.76272,18,0.0,0.1
Snap Star (new wrmp),5,75,13.88688,2.50993,0.1255,0.83322,2.2416,17,0.0,0.1
Snap Ensemble,4,75,13.15845,2.4665,0.12904,0.84197,3.12504,14,0.1,0.1
Snap Star (shot wrmp),4,75,12.31026,2.34572,0.115,0.85216,2.65055,16,0.1,0.1
Snap Star (new wrmp),4,75,12.48274,2.44446,0.13149,0.85009,3.41843,15,0.1,0.1
Snap Ensemble,4,75,11.35205,2.21254,0.11337,0.86366,1.89003,13,0.0,0.1
Snap Star (shot wrmp),4,75,10.82206,2.21738,0.11323,0.87003,1.68063,15,0.0,0.1
Snap Star (new wrmp),4,75,11.32669,2.24267,0.1141,0.86397,2.28409,14,0.0,0.1
Snap Ensemble,3,75,14.75811,2.58969,0.13619,0.82276,4.59681,11,0.1,0.1
Snap Star (shot wrmp),3,75,12.89081,2.46704,0.13116,0.84518,2.74872,13,0.1,0.1
Snap Star (new wrmp),3,75,13.55447,2.46737,0.12808,0.83721,2.94415,12,0.1,0.1
Snap Ensemble,3,75,14.53205,2.47024,0.12543,0.82547,2.18455,11,0.0,0.1
Snap Star (shot wrmp),3,75,14.79475,2.42151,0.12316,0.82232,1.92208,13,0.0,0.1
Snap Star (new wrmp),3,75,15.26911,2.47136,0.12386,0.81662,2.2098,12,0.0,0.1
Snap Ensemble,2,75,13.34962,2.5043,0.13448,0.83967,3.84868,8,0.1,0.1
Snap Star (shot wrmp),2,75,12.37139,2.37048,0.12243,0.85142,2.7891,9,0.1,0.1
Snap Star (new wrmp),2,75,12.27793,2.38407,0.12269,0.85254,3.35551,8,0.1,0.1
Snap Ensemble,2,75,12.08779,2.3061,0.11773,0.85483,1.88823,9,0.0,0.1
Snap Star (shot wrmp),2,75,13.22553,2.38082,0.11788,0.84116,2.35192,10,0.0,0.1
Snap Star (new wrmp),2,75,12.15458,2.32332,0.1185,0.85403,1.85726,9,0.0,0.1
Snap Ensemble,1,75,14.50487,2.59924,0.13391,0.8258,4.68649,6,0.1,0.1
Snap Star (shot wrmp),1,75,13.38596,2.43963,0.12426,0.83924,3.34367,6,0.1,0.1
Snap Star (new wrmp),1,75,14.94669,2.6173,0.13195,0.82049,4.82744,6,0.1,0.1
