Name,d,epochs,MSE,MAE,MAPE,R2 Square,TRAIN MSE,TIME,p,lr
Snap Ensemble,1,200,13.7811,2.48999,0.12993,0.83449,3.16151,15,0.1,0.1
Snap Star (shot wrmp),1,200,12.93784,2.42995,0.12533,0.84462,2.82401,18,0.1,0.1
Snap Star (new wrmp),1,200,12.98028,2.45062,0.12213,0.84411,3.37206,16,0.1,0.1
Snap Ensemble,1,200,12.55928,2.35075,0.11505,0.84917,1.95201,14,0.0,0.1
Snap Star (shot wrmp),1,200,13.39755,2.40307,0.12116,0.8391,2.04007,16,0.0,0.1
Snap Star (new wrmp),1,200,12.01436,2.31305,0.11732,0.85571,1.94352,15,0.0,0.1
Snap Ensemble,5,150,11.94696,2.38432,0.12469,0.85652,3.12983,34,0.1,0.1
Snap Star (shot wrmp),5,150,11.60765,2.36635,0.11878,0.86059,2.48317,41,0.1,0.1
Snap Star (new wrmp),5,150,11.47599,2.33022,0.11809,0.86218,2.55025,38,0.1,0.1
Snap Ensemble,5,150,10.82141,2.25967,0.11554,0.87004,1.36136,31,0.0,0.1
Snap Star (shot wrmp),5,150,9.84326,2.23553,0.11752,0.88178,1.299,37,0.0,0.1
Snap Star (new wrmp),5,150,10.03971,2.25047,0.1175,0.87943,1.28618,35,0.0,0.1
Snap Ensemble,4,150,14.29846,2.47741,0.12804,0.82828,3.68608,27,0.1,0.1
Snap Star (shot wrmp),4,150,13.2209,2.38017,0.12067,0.84122,2.28345,35,0.1,0.1
Snap Star (new wrmp),4,150,12.97118,2.39974,0.12143,0.84422,2.40878,30,0.1,0.1
Snap Ensemble,4,150,11.51449,2.18264,0.10968,0.86171,1.33788,28,0.0,0.1
Snap Star (shot wrmp),4,150,12.06935,2.24236,0.11007,0.85505,1.40431,33,0.0,0.1
Snap Star (new wrmp),4,150,12.00631,2.23324,0.11013,0.85581,1.3324,31,0.0,0.1
Snap Ensemble,3,150,14.04239,2.54101,0.12955,0.83135,3.49955,21,0.1,0.1
Snap Star (shot wrmp),3,150,11.54054,2.33785,0.11619,0.8614,1.83853,25,0.1,0.1
Snap Star (new wrmp),3,150,12.62591,2.42165,0.12212,0.84837,2.28423,24,0.1,0.1
Snap Ensemble,3,150,12.41342,2.3104,0.11332,0.85092,2.00441,23,0.0,0.1
Snap Star (shot wrmp),3,150,12.73944,2.41297,0.11716,0.847,2.42645,27,0.0,0.1
Snap Star (new wrmp),3,150,11.64092,2.33772,0.11498,0.8602,1.76488,25,0.0,0.1
Snap Ensemble,2,150,13.54823,2.49442,0.13147,0.83729,3.83665,17,0.1,0.1
Snap Star (shot wrmp),2,150,11.64528,2.29061,0.11415,0.86014,2.22137,19,0.1,0.1
Snap Star (new wrmp),2,150,10.90414,2.28334,0.11832,0.86904,2.48541,18,0.1,0.1
Snap Ensemble,2,150,13.62435,2.36502,0.11755,0.83637,1.63741,15,0.0,0.1
Snap Star (shot wrmp),2,150,13.40026,2.35382,0.11729,0.83907,1.70168,18,0.0,0.1
Snap Star (new wrmp),2,150,14.23659,2.39827,0.11823,0.82902,1.83588,17,0.0,0.1
Snap Ensemble,1,150,15.47672,2.62398,0.13697,0.81413,4.03848,12,0.1,0.1
Snap Star (shot wrmp),1,150,13.29948,2.45459,0.12362,0.84028,3.00306,12,0.1,0.1
Snap Star (new wrmp),1,150,12.40557,2.38315,0.1232,0.85101,2.84904,11,0.1,0.1
Snap Ensemble,1,150,12.82461,2.39454,0.12358,0.84598,1.84087,10,0.0,0.1
Snap Star (shot wrmp),1,150,13.63861,2.49252,0.12525,0.8362,2.65909,12,0.0,0.1
Snap Star (new wrmp),1,150,12.88718,2.47261,0.12438,0.84523,2.55269,11,0.0,0.1
Snap Ensemble,5,75,14.65803,2.59946,0.13634,0.82396,3.61269,17,0.1,0.1
Snap Star (shot wrmp),5,75,13.8007,2.48042,0.12382,0.83426,2.46687,20,0.1,0.1
Snap Star (new wrmp),5,75,14.19923,2.4874,0.12599,0.82947,3.23374,19,0.1,0.1
Snap Ensemble,5,75,13.62528,2.40916,0.11914,0.83636,2.0734,20,0.0,0.1
Snap Star (shot wrmp),5,75,13.87597,2.45052,0.11844,0.83335,2.2577,22,0.0,0.1
Snap Star (new wrmp),5,75,13.68977,2.43314,0.11855,0.83559,1.85653,21,0.0,0.1
Snap Ensemble,4,75,14.86432,2.5753,0.13489,0.82148,4.86026,14,0.1,0.1
Snap Star (shot wrmp),4,75,12.57871,2.354,0.11853,0.84893,2.60763,16,0.1,0.1
Snap Star (new wrmp),4,75,13.93906,2.49591,0.12843,0.83259,4.00169,16,0.1,0.1
Snap Ensemble,4,75,11.41238,2.24141,0.11295,0.86294,1.86502,14,0.0,0.1
Snap Star (shot wrmp),4,75,10.65028,2.16234,0.10781,0.87209,1.40181,16,0.0,0.1
Snap Star (new wrmp),4,75,11.72564,2.22375,0.10904,0.85918,1.88629,15,0.0,0.1
Snap Ensemble,3,75,13.31034,2.4683,0.13491,0.84015,3.77452,13,0.1,0.1
Snap Star (shot wrmp),3,75,11.91364,2.30582,0.11957,0.85692,2.56436,15,0.1,0.1
Snap Star (new wrmp),3,75,12.36824,2.41357,0.12992,0.85146,3.61548,14,0.1,0.1
Snap Ensemble,3,75,10.73884,2.18063,0.11108,0.87103,1.80483,11,0.0,0.1
Snap Star (shot wrmp),3,75,9.84658,2.12515,0.10628,0.88174,1.68144,12,0.0,0.1
Snap Star (new wrmp),3,75,10.36209,2.16728,0.10769,0.87555,2.01954,12,0.0,0.1
Snap Ensemble,2,75,14.34191,2.52069,0.13227,0.82776,4.08325,9,0.1,0.1
Snap Star (shot wrmp),2,75,12.61688,2.3802,0.12167,0.84847,3.13265,10,0.1,0.1
Snap Star (new wrmp),2,75,13.13223,2.42009,0.12723,0.84228,3.7519,9,0.1,0.1
Snap Ensemble,2,75,12.91875,2.35386,0.11587,0.84485,2.51765,8,0.0,0.1
Snap Star (shot wrmp),2,75,13.1076,2.36808,0.1186,0.84258,2.54901,9,0.0,0.1
Snap Star (new wrmp),2,75,12.25375,2.33914,0.1183,0.85284,2.60116,8,0.0,0.1
Snap Ensemble,1,75,15.66632,2.59125,0.13505,0.81185,4.26147,6,0.1,0.1
Snap Star (shot wrmp),1,75,13.8166,2.43408,0.12408,0.83407,3.30646,7,0.1,0.1
Snap Star (new wrmp),1,75,16.55578,2.71189,0.13608,0.80117,6.01831,6,0.1,0.1
Snap Ensemble,1,75,15.04513,2.43763,0.1224,0.81931,3.28661,6,0.0,0.1
Snap Star (shot wrmp),1,75,16.30539,2.48891,0.12197,0.80418,3.18441,6,0.0,0.1
Snap Star (new wrmp),1,75,15.4018,2.4295,0.12421,0.81503,3.08236,6,0.0,0.1
Snap Ensemble,5,30,13.92281,2.5327,0.13295,0.83279,4.96182,7,0.1,0.1
Snap Star (shot wrmp),5,30,12.84856,2.4167,0.12236,0.84569,3.40455,9,0.1,0.1
Snap Star (new wrmp),5,30,13.45024,2.50178,0.13273,0.83847,4.52423,9,0.1,0.1
Snap Ensemble,5,30,13.9168,2.41914,0.12081,0.83286,3.10344,6,0.0,0.1
Snap Star (shot wrmp),5,30,12.47853,2.30591,0.11596,0.85014,2.60514,7,0.0,0.1
Snap Star (new wrmp),5,30,14.67324,2.50232,0.12501,0.82378,3.41558,6,0.0,0.1
Snap Ensemble,4,30,15.66774,2.67074,0.13961,0.81183,5.31522,6,0.1,0.1
Snap Star (shot wrmp),4,30,13.89803,2.49247,0.1245,0.83309,3.34319,7,0.1,0.1
Snap Star (new wrmp),4,30,14.46194,2.57801,0.13695,0.82632,4.35683,6,0.1,0.1
Snap Ensemble,4,30,14.16304,2.41911,0.12379,0.82991,3.05053,5,0.0,0.1
Snap Star (shot wrmp),4,30,13.61907,2.36307,0.11805,0.83644,3.03448,6,0.0,0.1
Snap Star (new wrmp),4,30,13.51537,2.38512,0.12481,0.83768,2.98307,5,0.0,0.1
Snap Ensemble,3,30,14.54992,2.55955,0.13344,0.82526,4.72353,5,0.1,0.1
Snap Star (shot wrmp),3,30,12.65606,2.38615,0.12042,0.848,3.31393,6,0.1,0.1
Snap Star (new wrmp),3,30,13.80643,2.50468,0.13002,0.83419,4.41758,5,0.1,0.1
Snap Ensemble,3,30,13.96077,2.38652,0.1201,0.83233,2.92148,4,0.0,0.1
Snap Star (shot wrmp),3,30,13.99641,2.42985,0.1224,0.83191,2.90217,5,0.0,0.1
Snap Star (new wrmp),3,30,13.69298,2.41411,0.12345,0.83555,2.80504,4,0.0,0.1
Snap Ensemble,2,30,15.17073,2.56462,0.13259,0.8178,5.80303,5,0.1,0.1
Snap Star (shot wrmp),2,30,13.66645,2.44713,0.12278,0.83587,4.50231,6,0.1,0.1
Snap Star (new wrmp),2,30,14.42951,2.50971,0.12943,0.8267,5.43291,5,0.1,0.1
Snap Ensemble,2,30,13.77883,2.43939,0.12431,0.83452,3.27117,3,0.0,0.1
Snap Star (shot wrmp),2,30,15.20495,2.49404,0.12434,0.81739,3.42041,4,0.0,0.1
Snap Star (new wrmp),2,30,15.08173,2.48974,0.12308,0.81887,3.52314,3,0.0,0.1
Snap Ensemble,1,30,13.90955,2.55026,0.13784,0.83295,5.65865,2,0.1,0.1
Snap Star (shot wrmp),1,30,13.97494,2.60823,0.13508,0.83216,6.3532,2,0.1,0.1
Snap Star (new wrmp),1,30,15.97892,2.66929,0.1398,0.8081,6.43229,2,0.1,0.1
Snap Ensemble,1,30,14.58529,2.5357,0.12932,0.82483,3.99968,2,0.0,0.1
Snap Star (shot wrmp),1,30,14.16018,2.54539,0.12986,0.82994,4.75876,2,0.0,0.1
Snap Star (new wrmp),1,30,14.5872,2.57388,0.13095,0.82481,4.88078,2,0.0,0.1
Snap Ensemble,5,200,13.67363,2.41278,0.12702,0.83578,3.36971,46,0.1,0.1
Snap Star (shot wrmp),5,200,12.44682,2.28749,0.11558,0.85052,1.8108,55,0.1,0.1
Snap Star (new wrmp),5,200,12.0419,2.28384,0.11774,0.85538,1.60992,52,0.1,0.1
Snap Ensemble,5,200,13.12354,2.3905,0.11827,0.84239,1.55902,44,0.0,0.1
Snap Star (shot wrmp),5,200,12.84483,2.38482,0.1165,0.84574,1.83329,52,0.0,0.1
Snap Star (new wrmp),5,200,12.09599,2.35037,0.11765,0.85473,1.86886,49,0.0,0.1
Snap Ensemble,4,200,14.09042,2.53935,0.13289,0.83078,3.49903,39,0.1,0.1
Snap Star (shot wrmp),4,200,12.14227,2.34224,0.11844,0.85417,1.79251,47,0.1,0.1
Snap Star (new wrmp),4,200,12.029,2.35996,0.11868,0.85553,2.19396,44,0.1,0.1
Snap Ensemble,4,200,11.33399,2.23324,0.10834,0.86388,1.59888,41,0.0,0.1
Snap Star (shot wrmp),4,200,10.78443,2.25731,0.10845,0.87048,1.55601,47,0.0,0.1
Snap Star (new wrmp),4,200,10.83874,2.23804,0.10888,0.86983,1.7532,45,0.0,0.1
Snap Ensemble,3,200,13.25756,2.42527,0.13045,0.84078,3.36897,29,0.1,0.1
Snap Star (shot wrmp),3,200,11.87557,2.26197,0.11568,0.85738,1.93734,34,0.1,0.1
Snap Star (new wrmp),3,200,13.32178,2.37116,0.12269,0.84001,2.48846,33,0.1,0.1
Snap Ensemble,3,200,12.92362,2.39453,0.11792,0.84479,1.57284,28,0.0,0.1
Snap Star (shot wrmp),3,200,11.36839,2.39648,0.1224,0.86347,1.47378,34,0.0,0.1
Snap Star (new wrmp),3,200,12.31526,2.43346,0.12093,0.8521,1.74018,31,0.0,0.1
Snap Ensemble,2,200,13.03092,2.4695,0.13126,0.8435,3.52303,21,0.1,0.1
Snap Star (shot wrmp),2,200,12.29469,2.32422,0.11577,0.85234,2.11115,25,0.1,0.1
Snap Star (new wrmp),2,200,12.83936,2.34831,0.11523,0.8458,2.56824,23,0.1,0.1
Snap Ensemble,2,200,12.62111,2.32755,0.11233,0.84842,1.52037,21,0.0,0.1
Snap Star (shot wrmp),2,200,11.51245,2.30488,0.11484,0.86174,1.39211,26,0.0,0.1
Snap Star (new wrmp),2,200,11.44037,2.27951,0.11467,0.8626,1.51618,23,0.0,0.1
Snap Ensemble,1,200,13.949,2.54948,0.13657,0.83248,3.77183,14,0.1,0.1
Snap Star (shot wrmp),1,200,13.02661,2.52174,0.12933,0.84355,3.46197,16,0.1,0.1
Snap Star (new wrmp),1,200,14.40469,2.68425,0.14601,0.827,5.78299,16,0.1,0.1
Snap Ensemble,1,200,13.46138,2.36904,0.1165,0.83833,1.75581,15,0.0,0.1
Snap Star (shot wrmp),1,200,13.55314,2.40658,0.1169,0.83723,1.93821,17,0.0,0.1
Snap Star (new wrmp),1,200,12.47393,2.32696,0.116,0.85019,2.06284,16,0.0,0.1
Snap Ensemble,5,150,14.99266,2.58309,0.13416,0.81994,3.85084,32,0.1,0.1
Snap Star (shot wrmp),5,150,12.9133,2.41684,0.12236,0.84491,1.79471,39,0.1,0.1
Snap Star (new wrmp),5,150,13.27543,2.4563,0.12568,0.84057,2.90508,36,0.1,0.1
Snap Ensemble,5,150,10.98729,2.24008,0.11238,0.86805,1.52004,31,0.0,0.1
Snap Star (shot wrmp),5,150,10.55094,2.23715,0.11024,0.87329,1.50298,39,0.0,0.1
Snap Star (new wrmp),5,150,11.03143,2.2474,0.11056,0.86751,1.88414,34,0.0,0.1
Snap Ensemble,4,150,16.23232,2.5349,0.13308,0.80505,3.47598,27,0.1,0.1
Snap Star (shot wrmp),4,150,14.51605,2.33238,0.12097,0.82567,1.66831,33,0.1,0.1
Snap Star (new wrmp),4,150,15.29037,2.47927,0.12763,0.81637,2.85751,30,0.1,0.1
Snap Ensemble,4,150,13.06261,2.29534,0.11274,0.84312,1.91054,27,0.0,0.1
Snap Star (shot wrmp),4,150,11.65002,2.24099,0.11162,0.86009,1.71128,43,0.0,0.1
Snap Star (new wrmp),4,150,12.31128,2.27825,0.11328,0.85214,1.79955,33,0.0,0.1
Snap Ensemble,3,150,13.71888,2.4352,0.12324,0.83524,3.38169,23,0.1,0.1
Snap Star (shot wrmp),3,150,12.00856,2.32561,0.11735,0.85578,2.3227,27,0.1,0.1
Snap Star (new wrmp),3,150,11.87156,2.29701,0.11534,0.85743,2.73469,25,0.1,0.1
Snap Ensemble,3,150,12.8075,2.34952,0.1131,0.84618,1.55961,21,0.0,0.1
Snap Star (shot wrmp),3,150,12.04441,2.35934,0.11478,0.85535,1.34116,25,0.0,0.1
Snap Star (new wrmp),3,150,12.93428,2.40706,0.1159,0.84466,1.91471,25,0.0,0.1
Snap Ensemble,2,150,13.57553,2.42479,0.1256,0.83696,3.16036,17,0.1,0.1
Snap Star (shot wrmp),2,150,13.34685,2.37317,0.11831,0.83971,2.31694,19,0.1,0.1
Snap Star (new wrmp),2,150,14.3633,2.46953,0.12368,0.8275,2.81776,18,0.1,0.1
Snap Ensemble,2,150,12.54492,2.28837,0.11312,0.84934,1.53425,18,0.0,0.1
Snap Star (shot wrmp),2,150,13.82471,2.3679,0.11504,0.83397,1.91736,19,0.0,0.1
Snap Star (new wrmp),2,150,12.48141,2.3229,0.11582,0.8501,1.65626,18,0.0,0.1
Snap Ensemble,1,150,12.39193,2.44112,0.12927,0.85118,3.8847,10,0.1,0.1
Snap Star (shot wrmp),1,150,13.09744,2.43623,0.12148,0.8427,3.63474,12,0.1,0.1
Snap Star (new wrmp),1,150,12.40699,2.48905,0.13285,0.85099,3.80094,11,0.1,0.1
Snap Ensemble,1,150,13.2617,2.38054,0.11796,0.84073,2.05145,10,0.0,0.1
Snap Star (shot wrmp),1,150,14.03105,2.47948,0.12317,0.83149,2.33361,12,0.0,0.1
Snap Star (new wrmp),1,150,13.49332,2.39366,0.12064,0.83795,2.01578,11,0.0,0.1
Snap Ensemble,5,75,14.31375,2.56759,0.13292,0.8281,4.08333,17,0.1,0.1
Snap Star (shot wrmp),5,75,13.0777,2.42397,0.122,0.84294,2.68226,22,0.1,0.1
Snap Star (new wrmp),5,75,12.85209,2.40778,0.12357,0.84565,2.91198,19,0.1,0.1
Snap Ensemble,5,75,13.07751,2.318,0.11342,0.84294,1.96685,16,0.0,0.1
Snap Star (shot wrmp),5,75,12.67002,2.25312,0.11036,0.84784,1.97447,18,0.0,0.1
Snap Star (new wrmp),5,75,13.05349,2.27356,0.11078,0.84323,1.73121,17,0.0,0.1
Snap Ensemble,4,75,13.5333,2.4946,0.13007,0.83747,3.76456,14,0.1,0.1
Snap Star (shot wrmp),4,75,12.15149,2.34347,0.11846,0.85406,2.33514,16,0.1,0.1
Snap Star (new wrmp),4,75,12.05588,2.36304,0.12152,0.85521,2.85238,15,0.1,0.1
Snap Ensemble,4,75,11.91794,2.25366,0.11365,0.85687,1.87704,15,0.0,0.1
Snap Star (shot wrmp),4,75,11.07354,2.25819,0.11571,0.86701,1.6315,17,0.0,0.1
Snap Star (new wrmp),4,75,12.69786,2.3569,0.11614,0.8475,2.23638,16,0.0,0.1
Snap Ensemble,3,75,14.89818,2.56732,0.1315,0.82108,4.02832,11,0.1,0.1
Snap Star (shot wrmp),3,75,14.20298,2.49963,0.123,0.82943,3.15525,13,0.1,0.1
Snap Star (new wrmp),3,75,14.00947,2.46609,0.12613,0.83175,3.16659,12,0.1,0.1
Snap Ensemble,3,75,12.78973,2.33275,0.11849,0.8464,2.17232,11,0.0,0.1
Snap Star (shot wrmp),3,75,11.76134,2.28557,0.1166,0.85875,2.08234,12,0.0,0.1
Snap Star (new wrmp),3,75,12.16028,2.31918,0.11822,0.85396,2.28322,12,0.0,0.1
Snap Ensemble,2,75,15.86398,2.6579,0.13676,0.80948,4.78272,8,0.1,0.1
Snap Star (shot wrmp),2,75,14.11936,2.5144,0.12579,0.83043,2.85556,9,0.1,0.1
Snap Star (new wrmp),2,75,13.75082,2.41187,0.12043,0.83486,3.16047,9,0.1,0.1
Snap Ensemble,2,75,11.97946,2.30027,0.11706,0.85613,2.40402,8,0.0,0.1
Snap Star (shot wrmp),2,75,12.74386,2.32254,0.11405,0.84695,2.53566,11,0.0,0.1
Snap Star (new wrmp),2,75,12.30565,2.32186,0.11854,0.85221,2.40543,8,0.0,0.1
Snap Ensemble,1,75,15.6068,2.66832,0.13824,0.81257,5.59128,6,0.1,0.1
Snap Star (shot wrmp),1,75,14.30227,2.53551,0.12801,0.82823,4.82889,7,0.1,0.1
Snap Star (new wrmp),1,75,14.15994,2.49897,0.13003,0.82994,4.6856,6,0.1,0.1
Snap Ensemble,1,75,13.69212,2.40581,0.11958,0.83556,2.54076,6,0.0,0.1
Snap Star (shot wrmp),1,75,13.9581,2.47493,0.12037,0.83237,3.05625,6,0.0,0.1
Snap Star (new wrmp),1,75,12.80408,2.38308,0.12161,0.84623,2.75583,6,0.0,0.1
Snap Ensemble,5,30,13.05914,2.52174,0.13302,0.84316,4.84796,7,0.1,0.1
Snap Star (shot wrmp),5,30,11.51459,2.37995,0.12139,0.86171,3.52421,8,0.1,0.1
Snap Star (new wrmp),5,30,12.61249,2.46698,0.12961,0.84853,4.46362,7,0.1,0.1
Snap Ensemble,5,30,13.42191,2.33844,0.11649,0.83881,2.76825,6,0.0,0.1
Snap Star (shot wrmp),5,30,12.83089,2.31418,0.11804,0.8459,2.51456,7,0.0,0.1
Snap Star (new wrmp),5,30,12.60197,2.28515,0.11472,0.84865,2.29673,6,0.0,0.1
Snap Ensemble,4,30,14.08372,2.54311,0.13416,0.83086,4.92166,6,0.1,0.1
Snap Star (shot wrmp),4,30,12.38749,2.42136,0.12365,0.85123,3.81803,7,0.1,0.1
Snap Star (new wrmp),4,30,13.94146,2.54531,0.1361,0.83257,5.0144,6,0.1,0.1
Snap Ensemble,4,30,14.49844,2.43761,0.12366,0.82588,2.91105,5,0.0,0.1
Snap Star (shot wrmp),4,30,15.19333,2.49923,0.12714,0.81753,3.21375,6,0.0,0.1
Snap Star (new wrmp),4,30,15.44347,2.48329,0.12419,0.81453,3.00059,5,0.0,0.1
Snap Ensemble,3,30,15.6084,2.65967,0.13568,0.81255,6.15248,4,0.1,0.1
Snap Star (shot wrmp),3,30,12.85586,2.45289,0.12538,0.8456,4.09528,5,0.1,0.1
Snap Star (new wrmp),3,30,17.16918,2.78776,0.13925,0.7938,7.0009,4,0.1,0.1
Snap Ensemble,3,30,13.8086,2.45256,0.12459,0.83416,2.8953,6,0.0,0.1
Snap Star (shot wrmp),3,30,12.97527,2.42786,0.12309,0.84417,2.74859,7,0.0,0.1
Snap Star (new wrmp),3,30,13.50043,2.4717,0.12509,0.83786,3.00323,6,0.0,0.1
Snap Ensemble,2,30,14.52231,2.59261,0.1371,0.82559,5.30084,3,0.1,0.1
Snap Star (shot wrmp),2,30,13.3239,2.50305,0.12731,0.83998,3.87481,4,0.1,0.1
Snap Star (new wrmp),2,30,13.66118,2.51338,0.13355,0.83593,5.22372,3,0.1,0.1
Snap Ensemble,2,30,13.89625,2.45183,0.12411,0.83311,3.10757,3,0.0,0.1
Snap Star (shot wrmp),2,30,14.81782,2.52821,0.12479,0.82204,3.43877,4,0.0,0.1
Snap Star (new wrmp),2,30,14.66527,2.5227,0.12641,0.82387,3.46057,3,0.0,0.1
Snap Ensemble,1,30,14.79746,2.63857,0.14063,0.82229,5.96882,2,0.1,0.1
Snap Star (shot wrmp),1,30,14.03271,2.55561,0.13425,0.83147,5.46399,2,0.1,0.1
Snap Star (new wrmp),1,30,15.58773,2.6327,0.13483,0.81279,6.35223,2,0.1,0.1
Snap Ensemble,1,30,14.18192,2.49865,0.12751,0.82968,3.80948,2,0.0,0.1
Snap Star (shot wrmp),1,30,14.22488,2.56669,0.13131,0.82916,4.77741,2,0.0,0.1
Snap Star (new wrmp),1,30,14.69183,2.60725,0.1338,0.82355,4.84871,2,0.0,0.1
Snap Ensemble,5,200,13.25429,2.42137,0.12895,0.84082,3.36007,45,0.1,0.1
Snap Star (shot wrmp),5,200,11.49387,2.27273,0.11708,0.86196,1.66767,54,0.1,0.1
Snap Star (new wrmp),5,200,11.98101,2.32138,0.12154,0.85611,2.86222,51,0.1,0.1
Snap Ensemble,5,200,11.52111,2.2546,0.1124,0.86163,1.79852,44,0.0,0.1
Snap Star (shot wrmp),5,200,11.18824,2.18948,0.10867,0.86563,1.34031,50,0.0,0.1
Snap Star (new wrmp),5,200,11.24675,2.23506,0.11214,0.86493,1.3442,47,0.0,0.1
Snap Ensemble,4,200,12.65723,2.40608,0.12526,0.84799,3.21274,43,0.1,0.1
Snap Star (shot wrmp),4,200,10.83012,2.23159,0.11523,0.86993,1.7641,50,0.1,0.1
Snap Star (new wrmp),4,200,11.98552,2.33567,0.12337,0.85606,2.70195,47,0.1,0.1
Snap Ensemble,4,200,13.56988,2.32056,0.11437,0.83703,1.70253,69,0.0,0.1
Snap Star (shot wrmp),4,200,13.44806,2.2742,0.10948,0.83849,1.5943,75,0.0,0.1
Snap Star (new wrmp),4,200,12.72489,2.26714,0.11306,0.84718,1.42304,73,0.0,0.1
Snap Ensemble,3,200,13.94008,2.47702,0.1293,0.83258,2.95718,33,0.1,0.1
Snap Star (shot wrmp),3,200,12.86404,2.32169,0.12184,0.84551,1.91634,39,0.1,0.1
Snap Star (new wrmp),3,200,13.81372,2.43683,0.1207,0.8341,2.74062,57,0.1,0.1
Snap Ensemble,3,200,11.13335,2.21135,0.11354,0.86629,1.82579,30,0.0,0.1
Snap Star (shot wrmp),3,200,9.86704,2.13666,0.11171,0.8815,1.75618,35,0.0,0.1
Snap Star (new wrmp),3,200,9.76012,2.13444,0.11095,0.88278,1.82685,34,0.0,0.1
Snap Ensemble,2,200,13.98756,2.55607,0.13622,0.83201,3.4527,22,0.1,0.1
Snap Star (shot wrmp),2,200,13.22841,2.45156,0.12476,0.84113,2.18862,26,0.1,0.1
Snap Star (new wrmp),2,200,13.91947,2.51923,0.12937,0.83283,2.90339,29,0.1,0.1
Snap Ensemble,2,200,11.72213,2.25617,0.11159,0.85922,1.55122,24,0.0,0.1
Snap Star (shot wrmp),2,200,12.34594,2.37613,0.1225,0.85173,2.08808,24,0.0,0.1
Snap Star (new wrmp),2,200,11.7057,2.33535,0.11853,0.85942,1.60899,23,0.0,0.1
Snap Ensemble,1,200,13.44446,2.51285,0.13142,0.83854,3.77286,16,0.1,0.1
Snap Star (shot wrmp),1,200,11.55648,2.30287,0.1163,0.86121,2.4311,19,0.1,0.1
Snap Star (new wrmp),1,200,14.2381,2.51852,0.12532,0.829,4.25326,17,0.1,0.1
Snap Ensemble,1,200,12.3991,2.27947,0.11503,0.85109,1.73126,25,0.0,0.1
Snap Star (shot wrmp),1,200,13.66525,2.33562,0.1198,0.83588,2.15646,20,0.0,0.1
Snap Star (new wrmp),1,200,13.74976,2.31899,0.11303,0.83487,2.37364,19,0.0,0.1
Snap Ensemble,5,150,13.48284,2.48728,0.13119,0.83807,3.84233,58,0.1,0.1
Snap Star (shot wrmp),5,150,11.84534,2.29478,0.11456,0.85774,1.86677,72,0.1,0.1
Snap Star (new wrmp),5,150,11.13811,2.21499,0.11422,0.86623,2.13036,62,0.1,0.1
Snap Ensemble,5,150,12.08169,2.27063,0.11098,0.8549,1.59236,53,0.0,0.1
Snap Star (shot wrmp),5,150,11.87284,2.2971,0.11081,0.85741,1.44472,62,0.0,0.1
Snap Star (new wrmp),5,150,11.31612,2.27488,0.11161,0.8641,1.36962,59,0.0,0.1
Snap Ensemble,4,150,12.66152,2.46326,0.12923,0.84794,3.65184,30,0.1,0.1
Snap Star (shot wrmp),4,150,10.45327,2.22114,0.1111,0.87446,1.64259,38,0.1,0.1
Snap Star (new wrmp),4,150,11.09763,2.25835,0.1159,0.86672,2.05053,33,0.1,0.1
Snap Ensemble,4,150,12.54375,2.3309,0.11782,0.84935,1.51838,31,0.0,0.1
Snap Star (shot wrmp),4,150,14.28647,2.40302,0.121,0.82842,1.79694,36,0.0,0.1
Snap Star (new wrmp),4,150,13.4866,2.36072,0.11972,0.83803,1.44416,35,0.0,0.1
Snap Ensemble,3,150,14.9888,2.52171,0.13306,0.81999,3.45274,38,0.1,0.1
Snap Star (shot wrmp),3,150,14.08996,2.41984,0.12112,0.83078,2.53741,45,0.1,0.1
Snap Star (new wrmp),3,150,13.48649,2.41145,0.12548,0.83803,2.89919,36,0.1,0.1
Snap Ensemble,3,150,12.39632,2.30328,0.11468,0.85112,1.41847,36,0.0,0.1
Snap Star (shot wrmp),3,150,11.85224,2.28393,0.11329,0.85766,1.43908,42,0.0,0.1
Snap Star (new wrmp),3,150,12.85101,2.31854,0.11293,0.84566,1.79529,38,0.0,0.1
Snap Ensemble,2,150,13.54577,2.49963,0.12839,0.83732,3.74267,25,0.1,0.1
Snap Star (shot wrmp),2,150,11.77723,2.36551,0.11758,0.85856,2.36064,27,0.1,0.1
Snap Star (new wrmp),2,150,12.48981,2.38154,0.11878,0.85,2.54262,29,0.1,0.1
Snap Ensemble,2,150,13.78173,2.40436,0.1176,0.83448,2.07447,29,0.0,0.1
Snap Star (shot wrmp),2,150,12.83296,2.33568,0.11734,0.84588,1.80445,30,0.0,0.1
Snap Star (new wrmp),2,150,13.84317,2.4137,0.12195,0.83375,2.29231,28,0.0,0.1
Snap Ensemble,1,150,15.39988,2.57993,0.13072,0.81505,3.89245,12,0.1,0.1
Snap Star (shot wrmp),1,150,13.84677,2.60881,0.13633,0.8337,3.88335,14,0.1,0.1
Snap Star (new wrmp),1,150,15.17865,2.58414,0.12662,0.81771,4.40038,12,0.1,0.1
Snap Ensemble,1,150,12.82429,2.34494,0.1178,0.84598,2.12182,13,0.0,0.1
Snap Star (shot wrmp),1,150,15.19541,2.50015,0.12133,0.81751,2.81086,14,0.0,0.1
Snap Star (new wrmp),1,150,13.46436,2.38543,0.12074,0.8383,2.36193,15,0.0,0.1
Snap Ensemble,5,75,16.56651,2.6601,0.13767,0.80104,4.04512,25,0.1,0.1
