Name,d,MSE,MAE,MAPE,R2 Square,TRAIN MSE,TIME
Snap Star (shot wrmp),5,10.881±0.575,2.229,0.115,0.869,1.976,7.8
Snap Star (new wrmp),5,11.285±0.650,2.283,0.118,0.864,2.656,6.6
Snap Ensemble,5,11.862±0.616,2.306,0.120,0.858,2.629,6.6
Ensemble,5,12.568±0.878,2.399,0.124,0.849,4.220,6.8
Classic Star (no wrmp),5,11.365±0.410,2.278,0.117,0.864,2.978,7.2
Classic Star (new wrmp),5,12.157±0.822,2.353,0.121,0.854,3.320,6.2
Big NN,5,12.068±0.860,2.411,0.127,0.855,3.644,4.0
Snap Star (shot wrmp),4,11.276±0.582,2.269,0.116,0.865,2.329,6.2
Snap Star (new wrmp),4,11.598±0.729,2.292,0.118,0.861,2.739,5.0
Snap Ensemble,4,11.819±0.341,2.316,0.120,0.858,2.819,5.0
Ensemble,4,12.059±0.614,2.365,0.123,0.855,3.732,5.0
Classic Star (no wrmp),4,11.608±0.722,2.286,0.119,0.861,3.198,6.2
Classic Star (new wrmp),4,11.890±0.966,2.319,0.121,0.857,3.093,5.2
Big NN,4,12.556±0.904,2.383,0.124,0.849,3.746,4.0
Snap Star (shot wrmp),3,11.236±0.439,2.271,0.118,0.865,2.239,5.2
Snap Star (new wrmp),3,11.777±0.550,2.320,0.121,0.859,3.008,4.2
Snap Ensemble,3,12.152±0.378,2.350,0.123,0.854,3.062,4.2
Ensemble,3,12.714±1.362,2.412,0.126,0.847,4.321,4.4
Classic Star (no wrmp),3,10.810±0.663,2.243,0.117,0.870,2.904,5.0
Classic Star (new wrmp),3,11.072±0.675,2.272,0.120,0.867,3.199,4.0
Big NN,3,14.158±2.488,2.465,0.128,0.830,4.258,3.0
Snap Star (shot wrmp),2,11.458±0.669,2.298,0.119,0.862,2.584,4.0
Snap Star (new wrmp),2,11.600±0.675,2.325,0.124,0.861,3.244,3.0
Snap Ensemble,2,12.189±0.826,2.366,0.124,0.854,3.225,3.0
Ensemble,2,13.256±0.726,2.453,0.127,0.841,4.437,3.2
Classic Star (no wrmp),2,11.551±1.001,2.344,0.121,0.861,3.508,4.0
Classic Star (new wrmp),2,11.462±0.546,2.350,0.122,0.862,3.387,3.0
Big NN,2,14.263±2.370,2.457,0.124,0.829,3.869,2.2
Snap Star (shot wrmp),1,11.991±0.753,2.361,0.122,0.856,3.127,2.0
Snap Star (new wrmp),1,12.864±0.727,2.447,0.126,0.846,3.776,2.0
Snap Ensemble,1,12.506±0.457,2.410,0.125,0.850,3.650,2.0
Ensemble,1,12.747±1.065,2.411,0.125,0.847,4.161,2.0
Classic Star (no wrmp),1,11.804±0.927,2.357,0.123,0.858,3.492,2.2
Classic Star (new wrmp),1,12.712±0.649,2.392,0.124,0.847,3.656,2.0
Big NN,1,12.760±1.117,2.386,0.126,0.847,3.981,2.0
