Name,d,MSE,MAE,MAPE,R2 Square,TRAIN MSE,TIME
Snap Star (shot wrmp),5,12.460±0.939,2.407,0.122,0.850,3.301,9.6
Snap Star (new wrmp),5,13.200±0.951,2.448,0.127,0.841,3.998,8.4
Snap Ensemble,5,13.969±0.768,2.542,0.133,0.832,4.817,7.6
Snap Star (shot wrmp),4,13.143±0.673,2.439,0.123,0.842,3.647,8.0
Snap Star (new wrmp),4,14.271±0.595,2.539,0.133,0.829,4.731,7.0
Snap Ensemble,4,14.738±0.589,2.583,0.135,0.823,5.105,6.6
Snap Star (shot wrmp),3,12.993±0.833,2.441,0.125,0.844,3.768,6.2
Snap Star (new wrmp),3,14.395±1.558,2.584,0.133,0.827,5.294,5.4
Snap Ensemble,3,14.639±0.726,2.594,0.135,0.824,5.275,5.2
Snap Star (shot wrmp),2,12.933±0.698,2.439,0.123,0.845,4.118,5.2
Snap Star (new wrmp),2,14.067±0.595,2.505,0.129,0.831,5.250,4.6
Snap Ensemble,2,14.680±0.435,2.575,0.135,0.824,5.527,4.2
Snap Star (shot wrmp),1,14.831±0.896,2.598,0.133,0.822,5.927,3.6
Snap Star (new wrmp),1,15.396±0.940,2.602,0.135,0.815,6.478,3.0
Snap Ensemble,1,14.816±0.647,2.596,0.137,0.822,5.865,2.8
