Name,d,MSE,MAE,MAPE,R2 Square,TRAIN MSE,TIME
Snap Star (shot wrmp),5,10.485±0.243,2.195,0.113,0.874,1.430,20.8
Snap Star (new wrmp),5,10.687±0.740,2.201,0.114,0.872,1.714,19.4
Snap Ensemble,5,11.091±0.615,2.239,0.116,0.867,1.976,17.4
Ensemble,5,11.637±0.362,2.258,0.115,0.860,2.642,16.4
Classic Star (no wrmp),5,9.967±0.262,2.132,0.110,0.880,2.007,20.2
Classic Star (new wrmp),5,10.143±0.835,2.166,0.113,0.878,2.155,18.2
Big NN,5,12.922±1.182,2.396,0.124,0.845,2.635,10.8
Snap Star (shot wrmp),4,10.602±0.387,2.181,0.111,0.873,1.535,16.4
Snap Star (new wrmp),4,10.600±0.274,2.199,0.113,0.873,1.964,15.6
Snap Ensemble,4,10.731±0.291,2.208,0.115,0.871,2.038,14.2
Ensemble,4,11.801±0.736,2.311,0.119,0.858,3.143,13.6
Classic Star (no wrmp),4,10.354±0.570,2.203,0.113,0.876,2.092,16.6
Classic Star (new wrmp),4,10.358±0.969,2.188,0.113,0.876,2.030,14.2
Big NN,4,13.028±1.243,2.363,0.120,0.844,2.529,9.0
Snap Star (shot wrmp),3,10.602±0.878,2.187,0.114,0.873,1.627,13.2
Snap Star (new wrmp),3,10.937±0.643,2.233,0.116,0.869,2.053,12.4
Snap Ensemble,3,11.076±0.857,2.249,0.118,0.867,2.148,11.2
Ensemble,3,11.076±1.025,2.275,0.120,0.867,2.754,11.0
Classic Star (no wrmp),3,10.139±0.830,2.179,0.114,0.878,2.097,13.2
Classic Star (new wrmp),3,10.473±0.616,2.220,0.114,0.874,2.252,11.2
Big NN,3,12.047±1.528,2.318,0.118,0.855,3.006,7.0
Snap Star (shot wrmp),2,10.568±1.157,2.195,0.113,0.873,1.718,9.4
Snap Star (new wrmp),2,10.616±0.917,2.218,0.117,0.873,2.195,8.2
Snap Ensemble,2,11.152±1.161,2.250,0.117,0.866,2.218,8.2
Ensemble,2,11.348±0.302,2.257,0.119,0.864,2.628,8.0
Classic Star (no wrmp),2,10.700±0.680,2.203,0.113,0.871,2.204,9.2
Classic Star (new wrmp),2,11.442±0.735,2.247,0.115,0.863,2.378,7.4
Big NN,2,12.988±2.428,2.355,0.116,0.844,2.700,6.2
Snap Star (shot wrmp),1,10.931±0.627,2.246,0.117,0.869,2.049,6.4
Snap Star (new wrmp),1,12.044±0.764,2.311,0.114,0.855,2.940,6.0
Snap Ensemble,1,12.097±0.940,2.323,0.121,0.855,2.443,6.0
Ensemble,1,12.040±1.717,2.309,0.118,0.855,3.188,5.0
Classic Star (no wrmp),1,11.018±0.516,2.255,0.117,0.868,2.757,6.0
Classic Star (new wrmp),1,11.296±0.560,2.251,0.115,0.864,2.647,5.0
Big NN,1,11.912±1.332,2.371,0.120,0.857,2.738,4.2
