Name,d,accuracy,entropy,TIME
Snap Star (shot wrmp),3,0.900±0.002,0.284±0.008,340.333
Snap Star (new wrmp),3,0.898±0.002,0.285±0.008,313.0
Snap Ensemble,3,0.897±0.003,0.290±0.009,272.667
Ensemble,3,0.887±0.001,0.310±0.005,272.667
Classic Star (no wrmp),3,0.893±0.002,0.298±0.007,339.667
Classic Star (new wrmp),3,0.893±0.002,0.297±0.007,285.667
Big NN,3,0.890±0.010,0.299±0.022,214.333
Snap Star (shot wrmp),2,0.894±0.007,0.294±0.020,248.667
Snap Star (new wrmp),2,0.892±0.001,0.294±0.006,230.333
Snap Ensemble,2,0.891±0.006,0.302±0.021,203.667
Ensemble,2,0.886±0.004,0.313±0.008,203.0
Classic Star (no wrmp),2,0.889±0.003,0.304±0.009,249.0
Classic Star (new wrmp),2,0.889±0.004,0.303±0.008,203.667
Big NN,2,0.892±0.003,0.304±0.007,165.333
Snap Star (shot wrmp),1,0.891±0.002,0.299±0.006,159.0
Snap Star (new wrmp),1,0.885±0.001,0.318±0.008,149.333
Snap Ensemble,1,0.889±0.001,0.304±0.007,136.0
Ensemble,1,0.886±0.005,0.314±0.011,136.333
Classic Star (no wrmp),1,0.888±0.002,0.311±0.001,158.0
Classic Star (new wrmp),1,0.891±0.002,0.302±0.005,122.333
Big NN,1,0.886±0.002,0.315±0.005,117.333
