Name,d,accuracy,entropy,TIME
Snap Star (shot wrmp),3,0.902±0.001,0.354±0.017,1021.333
Snap Star (new wrmp),3,0.902±0.001,0.348±0.015,940.333
Snap Ensemble,3,0.904±0.002,0.274±0.006,819.667
Ensemble,3,0.910±0.003,0.247±0.004,818.667
Classic Star (no wrmp),3,0.913±0.002,0.245±0.007,1014.667
Classic Star (new wrmp),3,0.913±0.004,0.243±0.008,855.333
Big NN,3,0.905±0.004,0.297±0.011,643.0
Snap Star (shot wrmp),2,0.906±0.004,0.292±0.015,751.0
Snap Star (new wrmp),2,0.907±0.005,0.284±0.012,697.0
Snap Ensemble,2,0.908±0.004,0.266±0.011,616.0
Ensemble,2,0.912±0.004,0.251±0.004,614.333
Classic Star (no wrmp),2,0.910±0.000,0.245±0.003,747.333
Classic Star (new wrmp),2,0.911±0.002,0.244±0.004,613.333
Big NN,2,0.902±0.001,0.303±0.007,498.333
Snap Star (shot wrmp),1,0.902±0.004,0.284±0.010,476.667
Snap Star (new wrmp),1,0.905±0.004,0.269±0.013,449.333
Snap Ensemble,1,0.904±0.002,0.272±0.007,408.333
Ensemble,1,0.903±0.004,0.267±0.006,406.0
Classic Star (no wrmp),1,0.906±0.004,0.268±0.006,478.333
Classic Star (new wrmp),1,0.908±0.002,0.263±0.007,369.667
Big NN,1,0.899±0.001,0.298±0.007,352.667
