Name,d,epochs,accuracy,entropy,TIME,p,lr
Classic Star (new wrmp),3,15,0.9162,0.2347612828016281,859,0.0,0.001
Classic Star (no wrmp),3,15,0.915,0.23754090070724487,1019,0.0,0.001
Big NN,3,15,0.9012,0.30318590998649597,644,0.0,0.001
Ensemble,3,15,0.9078,0.2508554199851792,821,0.0,0.001
Snap Ensemble,3,15,0.9052,0.27870150452544584,821,0.0,0.001
Snap Star (shot wrmp),3,15,0.9028,0.3727382719516754,1023,0.0,0.001
Snap Star (new wrmp),3,15,0.9037,0.3648243248462677,941,0.0,0.001
Classic Star (new wrmp),2,15,0.911,0.24686402082443237,615,0.0,0.001
Classic Star (no wrmp),2,15,0.9104,0.24398638308048248,748,0.0,0.001
Big NN,2,15,0.902,0.3030031621456146,498,0.0,0.001
Ensemble,2,15,0.9164,0.24639402978250383,615,0.0,0.001
Snap Ensemble,2,15,0.9077,0.2664614745068853,617,0.0,0.001
Snap Star (shot wrmp),2,15,0.906,0.2859247624874115,752,0.0,0.001
Snap Star (new wrmp),2,15,0.9078,0.2820706069469452,698,0.0,0.001
Classic Star (new wrmp),1,15,0.9094,0.25563016533851624,370,0.0,0.001
Classic Star (no wrmp),1,15,0.9086,0.2625456154346466,479,0.0,0.001
Big NN,1,15,0.8992,0.29716816544532776,354,0.0,0.001
Ensemble,1,15,0.9036,0.26762034998227113,411,0.0,0.001
Snap Ensemble,1,15,0.9019,0.27778019460460207,410,0.0,0.001
Snap Star (shot wrmp),1,15,0.8977,0.29529714584350586,480,0.0,0.001
Snap Star (new wrmp),1,15,0.9004,0.2838954031467438,452,0.0,0.001
Classic Star (new wrmp),3,15,0.9086,0.25052934885025024,859,0.0,0.001
Classic Star (no wrmp),3,15,0.9107,0.25216808915138245,1019,0.0,0.001
Big NN,3,15,0.9096,0.2834526002407074,644,0.0,0.001
Ensemble,3,15,0.9129,0.24574535147383922,819,0.0,0.001
Snap Ensemble,3,15,0.9023,0.2771506390402393,821,0.0,0.001
Snap Star (shot wrmp),3,15,0.9,0.349166601896286,1024,0.0,0.001
Snap Star (new wrmp),3,15,0.9014,0.3443443775177002,942,0.0,0.001
Classic Star (new wrmp),2,15,0.9086,0.24582849442958832,613,0.0,0.001
Classic Star (no wrmp),2,15,0.9097,0.24849282205104828,747,0.0,0.001
Big NN,2,15,0.9039,0.2963315546512604,498,0.0,0.001
Ensemble,2,15,0.9105,0.2545862148420913,615,0.0,0.001
Snap Ensemble,2,15,0.9124,0.25375868259210105,615,0.0,0.001
Snap Star (shot wrmp),2,15,0.9099,0.2817394435405731,750,0.0,0.001
Snap Star (new wrmp),2,15,0.9121,0.27263402938842773,696,0.0,0.001
Classic Star (new wrmp),1,15,0.9063,0.2702891528606415,371,0.0,0.001
Classic Star (no wrmp),1,15,0.9014,0.27366453409194946,480,0.0,0.001
Big NN,1,15,0.8982,0.30456066131591797,350,0.0,0.001
Ensemble,1,15,0.8996,0.2732682312408683,403,0.0,0.001
Snap Ensemble,1,15,0.903,0.27343530002492805,411,0.0,0.001
Snap Star (shot wrmp),1,15,0.9053,0.2808453142642975,478,0.0,0.001
Snap Star (new wrmp),1,15,0.9062,0.2637234330177307,451,0.0,0.001
Classic Star (new wrmp),3,15,0.9133,0.24352827668190002,848,0.0,0.001
Classic Star (no wrmp),3,15,0.9128,0.24570642411708832,1006,0.0,0.001
Big NN,3,15,0.9039,0.3029117286205292,641,0.0,0.001
Ensemble,3,15,0.9101,0.2436935937195818,816,0.0,0.001
Snap Ensemble,3,15,0.905,0.267235319740331,817,0.0,0.001
Snap Star (shot wrmp),3,15,0.902,0.3390877842903137,1017,0.0,0.001
Snap Star (new wrmp),3,15,0.9017,0.33480164408683777,938,0.0,0.001
Classic Star (new wrmp),2,15,0.9128,0.23927241563796997,612,0.0,0.001
Classic Star (no wrmp),2,15,0.9106,0.2425708770751953,747,0.0,0.001
Big NN,2,15,0.9014,0.3111063838005066,499,0.0,0.001
Ensemble,2,15,0.909,0.2509632201672529,613,0.0,0.001
Snap Ensemble,2,15,0.904,0.27661729903341536,616,0.0,0.001
Snap Star (shot wrmp),2,15,0.9019,0.3096494674682617,751,0.0,0.001
Snap Star (new wrmp),2,15,0.9014,0.297253280878067,697,0.0,0.001
Classic Star (new wrmp),1,15,0.9092,0.26300057768821716,368,0.0,0.001
Classic Star (no wrmp),1,15,0.9074,0.2683255672454834,476,0.0,0.001
Big NN,1,15,0.9001,0.2915682792663574,354,0.0,0.001
Ensemble,1,15,0.9073,0.26070997685796055,404,0.0,0.001
Snap Ensemble,1,15,0.9062,0.26485892385242343,404,0.0,0.001
Snap Star (shot wrmp),1,15,0.9045,0.27673864364624023,472,0.0,0.001
Snap Star (new wrmp),1,15,0.9073,0.26074036955833435,445,0.0,0.001
