Name,d,epochs,accuracy,entropy,TIME,p,lr
Classic Star (new wrmp),3,10,0.9072,0.25318780541419983,571,0.0,0.001
Classic Star (no wrmp),3,10,0.9077,0.2526112198829651,679,0.0,0.001
Big NN,3,10,0.9043,0.2751533091068268,429,0.0,0.001
Ensemble,3,10,0.9042,0.26289865126833645,545,0.0,0.001
Snap Ensemble,3,10,0.9052,0.2660799369593225,548,0.0,0.001
Snap Star (shot wrmp),3,10,0.9042,0.28879255056381226,682,0.0,0.001
Snap Star (new wrmp),3,10,0.904,0.28553467988967896,627,0.0,0.001
Classic Star (new wrmp),2,10,0.9027,0.2667403519153595,408,0.0,0.001
Classic Star (no wrmp),2,10,0.9015,0.27282842993736267,498,0.0,0.001
Big NN,2,10,0.8953,0.29260531067848206,332,0.0,0.001
Ensemble,2,10,0.9036,0.26104837342672504,409,0.0,0.001
Snap Ensemble,2,10,0.9042,0.2640722929751193,409,0.0,0.001
Snap Star (shot wrmp),2,10,0.9032,0.27221670746803284,499,0.0,0.001
Snap Star (new wrmp),2,10,0.9024,0.2705971896648407,463,0.0,0.001
Classic Star (new wrmp),1,10,0.9083,0.2568095624446869,247,0.0,0.001
Classic Star (no wrmp),1,10,0.9077,0.2647646367549896,320,0.0,0.001
Big NN,1,10,0.8931,0.29792505502700806,235,0.0,0.001
Ensemble,1,10,0.8981,0.28800846204993497,273,0.0,0.001
Snap Ensemble,1,10,0.896,0.28221573781824233,273,0.0,0.001
Snap Star (shot wrmp),1,10,0.9,0.2856791019439697,320,0.0,0.001
Snap Star (new wrmp),1,10,0.901,0.2706691026687622,302,0.0,0.001
Classic Star (new wrmp),3,5,0.8936,0.2999103367328644,285,0.0,0.001
Classic Star (no wrmp),3,5,0.8944,0.29586049914360046,339,0.0,0.001
Big NN,3,5,0.8945,0.28360313177108765,214,0.0,0.001
Ensemble,3,5,0.8867,0.3114442393696144,272,0.0,0.001
Snap Ensemble,3,5,0.8946,0.299416447306435,272,0.0,0.001
Snap Star (shot wrmp),3,5,0.8988,0.2907503843307495,339,0.0,0.001
Snap Star (new wrmp),3,5,0.8954,0.29301702976226807,312,0.0,0.001
Classic Star (new wrmp),2,5,0.8851,0.31121915578842163,202,0.0,0.001
Classic Star (no wrmp),2,5,0.8859,0.3097056746482849,247,0.0,0.001
Big NN,2,5,0.8891,0.30912140011787415,164,0.0,0.001
Ensemble,2,5,0.8873,0.31435957127949743,200,0.0,0.001
Snap Ensemble,2,5,0.8937,0.28793290797140125,201,0.0,0.001
Snap Star (shot wrmp),2,5,0.899,0.2797483503818512,245,0.0,0.001
Snap Star (new wrmp),2,5,0.8921,0.2883954644203186,228,0.0,0.001
Classic Star (new wrmp),1,5,0.8913,0.3010075092315674,121,0.0,0.001
Classic Star (no wrmp),1,5,0.8886,0.3093883991241455,156,0.0,0.001
Big NN,1,5,0.8878,0.30950161814689636,116,0.0,0.001
Ensemble,1,5,0.8809,0.3258091164612245,135,0.0,0.001
Snap Ensemble,1,5,0.8879,0.3115922087602844,135,0.0,0.001
Snap Star (shot wrmp),1,5,0.8894,0.30539727210998535,157,0.0,0.001
Snap Star (new wrmp),1,5,0.8835,0.3265502452850342,148,0.0,0.001
