Name,d,MSE,MAE,MAPE,R2 Square,TRAIN MSE,TIME
Snap Star (shot wrmp),5,13.422±0.777,2.442,0.122,0.839,2.473,21.2
Snap Star (new wrmp),5,13.494±0.766,2.450,0.126,0.838,3.036,19.8
Snap Ensemble,5,14.864±0.962,2.585,0.135,0.821,3.998,18.6
Snap Star (shot wrmp),4,12.605±0.521,2.384,0.118,0.849,2.658,16.8
Snap Star (new wrmp),4,12.950±0.719,2.449,0.127,0.844,3.444,15.8
Snap Ensemble,4,13.978±0.657,2.529,0.132,0.832,4.010,14.6
Snap Star (shot wrmp),3,12.739±0.946,2.415,0.122,0.847,2.876,14.2
Snap Star (new wrmp),3,12.798±0.927,2.416,0.126,0.846,3.182,13.2
Snap Ensemble,3,13.882±0.915,2.520,0.133,0.833,4.074,12.2
Snap Star (shot wrmp),2,13.223±0.729,2.430,0.123,0.841,2.964,10.4
Snap Star (new wrmp),2,13.108±0.580,2.419,0.125,0.843,3.442,9.6
Snap Ensemble,2,14.617±0.906,2.574,0.135,0.824,4.304,9.2
Snap Star (shot wrmp),1,13.665±0.707,2.457,0.126,0.836,3.742,7.4
Snap Star (new wrmp),1,14.904±1.025,2.578,0.131,0.821,4.955,6.8
Snap Ensemble,1,14.829±1.146,2.576,0.135,0.822,4.570,6.6
