Name,d,MSE,MAE,MAPE,R2 Square,TRAIN MSE,TIME
Snap Star (shot wrmp),5,11.652±0.985,2.278,0.113,0.860,1.535,56.0
Snap Star (new wrmp),5,11.718±1.328,2.282,0.113,0.859,1.588,53.2
Snap Ensemble,5,12.326±1.003,2.306,0.114,0.852,1.646,48.4
Snap Star (shot wrmp),4,11.427±1.217,2.268,0.112,0.863,1.510,54.0
Snap Star (new wrmp),4,11.480±0.901,2.271,0.113,0.862,1.549,51.4
Snap Ensemble,4,11.687±1.106,2.256,0.112,0.860,1.518,47.2
Snap Star (shot wrmp),3,11.789±1.211,2.307,0.115,0.858,1.576,206.2
Snap Star (new wrmp),3,11.741±1.221,2.304,0.115,0.859,1.608,204.2
Snap Ensemble,3,12.152±0.815,2.294,0.114,0.854,1.580,201.0
Snap Star (shot wrmp),2,11.886±0.911,2.302,0.114,0.857,1.622,26.6
Snap Star (new wrmp),2,11.720±1.013,2.302,0.115,0.859,1.583,24.8
Snap Ensemble,2,11.932±0.661,2.284,0.112,0.857,1.612,23.8
Snap Star (shot wrmp),1,14.619±1.520,2.433,0.119,0.824,2.096,18.4
Snap Star (new wrmp),1,13.603±1.337,2.372,0.117,0.837,2.202,17.4
Snap Ensemble,1,13.557±1.107,2.362,0.116,0.837,1.903,17.4
