Name,d,MSE,MAE,MAPE,R2 Square,TRAIN MSE,TIME
Snap Star (shot wrmp),5,11.510±1.401,2.285,0.114,0.862,1.393,44.4
Snap Star (new wrmp),5,11.648±1.383,2.294,0.115,0.860,1.497,41.6
Snap Ensemble,5,12.088±1.555,2.295,0.114,0.855,1.584,37.0
Snap Star (shot wrmp),4,12.764±1.299,2.309,0.114,0.847,1.607,35.8
Snap Star (new wrmp),4,12.995±1.306,2.320,0.114,0.844,1.613,32.2
Snap Ensemble,4,12.691±0.921,2.290,0.113,0.848,1.631,28.2
Snap Star (shot wrmp),3,12.376±0.766,2.309,0.113,0.851,1.571,29.2
Snap Star (new wrmp),3,12.615±0.691,2.318,0.113,0.849,1.705,27.2
Snap Ensemble,3,12.719±0.374,2.315,0.113,0.847,1.647,24.8
Snap Star (shot wrmp),2,13.272±0.389,2.363,0.117,0.841,1.832,21.0
Snap Star (new wrmp),2,13.195±1.095,2.374,0.119,0.842,1.985,19.8
Snap Ensemble,2,13.298±0.665,2.352,0.116,0.840,1.813,18.8
Snap Star (shot wrmp),1,14.624±1.337,2.496,0.124,0.824,2.626,12.6
Snap Star (new wrmp),1,13.982±1.121,2.450,0.122,0.832,2.461,12.0
Snap Ensemble,1,13.992±1.550,2.430,0.121,0.832,2.229,10.8
