Name,d,MSE,MAE,MAPE,R2 Square,TRAIN MSE,TIME
Snap Star (shot wrmp),5,13.058±0.868,2.346,0.119,0.843,2.526,8.0
Snap Star (new wrmp),5,13.766±0.916,2.397,0.120,0.835,2.696,7.4
Snap Ensemble,5,13.728±0.591,2.390,0.120,0.835,2.943,7.2
Snap Star (shot wrmp),4,13.495±1.317,2.416,0.122,0.838,2.892,6.6
Snap Star (new wrmp),4,13.338±1.489,2.399,0.123,0.840,2.700,6.0
Snap Ensemble,4,13.452±0.972,2.401,0.122,0.838,2.838,5.8
Snap Star (shot wrmp),3,14.433±1.070,2.445,0.122,0.827,2.948,6.4
Snap Star (new wrmp),3,14.400±1.020,2.448,0.123,0.827,2.953,5.4
Snap Ensemble,3,14.062±0.575,2.417,0.122,0.831,3.031,5.2
Snap Star (shot wrmp),2,14.796±0.549,2.484,0.124,0.822,3.384,5.2
Snap Star (new wrmp),2,15.051±0.225,2.502,0.125,0.819,3.565,4.6
Snap Ensemble,2,14.588±0.778,2.456,0.123,0.825,3.265,4.0
Snap Star (shot wrmp),1,14.216±0.436,2.562,0.131,0.829,4.356,3.0
Snap Star (new wrmp),1,14.451±0.452,2.585,0.132,0.826,4.548,2.8
Snap Ensemble,1,14.409±0.267,2.503,0.127,0.827,3.682,3.0
